iter	Passed	Remaining
0	7	1040
1	10	728
2	15	693
3	20	697
4	25	680
5	29	658
6	33	632
7	36	603
8	39	576
9	42	554
10	46	535
11	48	518
12	51	503
13	55	491
14	58	479
15	61	469
16	64	460
17	67	450
18	70	443
19	73	437
20	76	431
21	80	427
22	83	421
23	87	421
24	92	422
25	106	464
26	115	479
27	123	489
28	131	497
29	139	505
30	144	504
31	151	508
32	159	513
33	168	519
34	177	526
35	185	531
36	201	554
37	211	562
38	218	559
39	226	560
40	234	559
41	243	561
42	254	568
43	264	570
44	275	574
45	284	574
46	292	572
47	300	570
48	308	565
49	314	560
50	320	553
51	325	544
52	332	539
53	341	537
54	347	531
55	356	527
56	363	522
57	372	520
58	377	511
59	382	503
60	390	499
61	397	494
62	405	489
63	413	484
64	421	480
65	431	476
66	439	472
67	447	467
68	456	463
69	464	458
70	472	452
71	480	447
72	489	442
73	496	436
74	504	430
75	513	426
76	522	420
77	530	414
78	538	408
79	546	403
80	552	395
81	559	388
82	567	383
83	578	378
84	587	373
85	596	367
86	604	361
87	612	355
88	620	348
89	628	341
90	635	335
91	642	328
92	649	321
93	656	314
94	663	307
95	670	300
96	678	293
97	686	287
98	698	282
99	709	276
100	719	270
101	728	264
102	736	257
103	744	250
104	755	244
105	764	238
106	773	231
107	781	224
108	789	217
109	797	210
110	806	203
111	813	196
112	822	189
113	830	182
114	837	174
115	845	167
116	852	160
117	861	153
118	871	146
119	880	139
120	889	132
121	896	124
122	904	117
123	911	110
124	919	102
125	925	95
126	932	88
127	941	80
128	949	73
129	955	66
130	961	58
131	968	51
132	974	43
133	982	36
134	991	29
135	999	22
136	1007	14
137	1015	7
138	1023	0
